,anime_id,name,genre,type,episodes,rating,members
8001,6833,Ninjutsu Hinotama Kozou: Edo no Maki,Action,Movie,1,4.15,474
8005,31688,Tama Gura Abayo: Moki Yumokyu Superdeluxe,"Dementia, Music",Music,1,4.03,202
8020,31686,Shigeru,"Comedy, Dementia",ONA,1,3.86,411
8026,30860,Koumon-teki Juuku Ketsujiru Juke,"Comedy, Dementia, Music",Music,1,3.78,310
8048,22169,Fetish Doll,Dementia,Movie,1,3.32,654
8053,6953,Ningen Doubutsuen,Dementia,Movie,1,2.78,1893
8055,29949,Nami,Dementia,Movie,1,2.67,1817
8056,413,Hametsu no Mars,"Horror, Sci-Fi",OVA,1,2.37,27557
8057,13405,Utsu Musume Sayuri,"Comedy, Dementia",OVA,1,2.14,4047
8058,3287,Tenkuu Danzai Skelter+Heaven,"Mecha, Sci-Fi",OVA,1,2.0,7680
