id,anime_id,name,genre,type,episodes,rating,members,weight
0,1535,Death Note,"Mystery, Police, Psychological, Supernatural, Thriller",TV,37,8.71,1013917,0.9577374599786554
1,5114,Fullmetal Alchemist: Brotherhood,"Action, Adventure, Drama, Fantasy, Magic, Military, Shounen",TV,64,9.26,793665,0.9060618846062928
2,16498,Shingeki no Kyojin,"Action, Drama, Fantasy, Shounen, Super Power",TV,25,8.54,896229,0.9004210960846711
3,11757,Sword Art Online,"Action, Adventure, Fantasy, Game, Romance",TV,25,7.83,893100,0.853722387738963
4,9253,Steins;Gate,"Sci-Fi, Thriller",TV,24,9.17,673572,0.8529194263431364
5,1575,Code Geass: Hangyaku no Lelouch,"Action, Mecha, Military, School, Sci-Fi, Super Power",TV,25,8.83,715151,0.8475516637780143
6,6547,Angel Beats!,"Action, Comedy, Drama, School, Supernatural",TV,13,8.39,717796,0.8204201489781615
7,2904,Code Geass: Hangyaku no Lelouch R2,"Action, Drama, Mecha, Military, Sci-Fi, Super Power",TV,25,8.98,572888,0.8010308391631042
8,4224,Toradora!,"Comedy, Romance, School, Slice of Life",TV,25,8.45,633817,0.7911305972172643
9,2001,Tengen Toppa Gurren Lagann,"Action, Adventure, Comedy, Mecha, Sci-Fi",TV,27,8.78,562962,0.7843079790119278
10,30276,One Punch Man,"Action, Comedy, Parody, Sci-Fi, Seinen, Super Power, Supernatural",TV,12,8.82,552458,0.7827252812558759
11,19815,No Game No Life,"Adventure, Comedy, Ecchi, Fantasy, Game, Supernatural",TV,12,8.47,602291,0.7799735654800553
12,10620,Mirai Nikki (TV),"Action, Mystery, Psychological, Shounen, Supernatural, Thriller",TV,26,8.07,657190,0.7760187928600801
13,121,Fullmetal Alchemist,"Action, Adventure, Comedy, Drama, Fantasy, Magic, Military, Shounen",TV,51,8.33,600384,0.7702564299506842
14,20,Naruto,"Action, Comedy, Martial Arts, Shounen, Super Power",TV,220,7.81,683297,0.7696697110677151
15,22319,Tokyo Ghoul,"Action, Drama, Horror, Mystery, Psychological, Seinen, Supernatural",TV,12,8.07,618056,0.7605795512900385
16,4181,Clannad: After Story,"Drama, Fantasy, Romance, Slice of Life, Supernatural",TV,24,9.06,456749,0.760334128431508
17,6702,Fairy Tail,"Action, Adventure, Comedy, Fantasy, Magic, Shounen",TV,175,8.22,584590,0.7569815857004215
18,1,Cowboy Bebop,"Action, Adventure, Comedy, Drama, Sci-Fi, Space",TV,26,8.82,486824,0.7568311947528835
19,6746,Durarara!!,"Action, Mystery, Supernatural",TV,24,8.38,556431,0.7561176922700216
20,199,Sen to Chihiro no Kamikakushi,"Adventure, Drama, Supernatural",Movie,1,8.93,466254,0.7557596246204359
21,269,Bleach,"Action, Comedy, Shounen, Super Power, Supernatural",TV,366,7.95,624055,0.7552621932836895
22,2167,Clannad,"Comedy, Drama, Romance, School, Slice of Life, Supernatural",TV,23,8.3,566690,0.7550423659638501
23,11061,Hunter x Hunter (2011),"Action, Adventure, Shounen, Super Power",TV,148,9.13,425855,0.7526281424602632
24,226,Elfen Lied,"Action, Drama, Horror, Psychological, Romance, Seinen, Supernatural",TV,13,7.85,623511,0.7486441579159769
25,3588,Soul Eater,"Action, Adventure, Comedy, Fantasy, Shounen, Supernatural",TV,51,8.08,580184,0.7462785385677506
26,13601,Psycho-Pass,"Action, Police, Psychological, Sci-Fi",TV,22,8.5,509109,0.7451321990626223
27,9919,Ao no Exorcist,"Action, Demons, Fantasy, Shounen, Supernatural",TV,25,7.92,583823,0.7374687415167936
28,23273,Shigatsu wa Kimi no Uso,"Drama, Music, Romance, School, Shounen",TV,22,8.92,416397,0.735449577300352
29,9989,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,"Drama, Slice of Life, Supernatural",TV,11,8.62,463835,0.7349546878334375
30,9756,Mahou Shoujo Madoka★Magica,"Drama, Magic, Psychological, Thriller",TV,12,8.51,462974,0.727571247333505
31,5081,Bakemonogatari,"Mystery, Romance, Supernatural, Vampire",TV,15,8.39,482268,0.727499065303895
32,18679,Kill la Kill,"Action, Comedy, School, Super Power",TV,24,8.23,508118,0.727452006396552
33,20507,Noragami,"Action, Adventure, Shounen, Supernatural",TV,12,8.17,515378,0.7264741902928809
34,10087,Fate/Zero,"Action, Fantasy, Supernatural",TV,13,8.51,453630,0.7238848295579015
35,22535,Kiseijuu: Sei no Kakuritsu,"Action, Drama, Horror, Psychological, Sci-Fi, Seinen",TV,24,8.59,425457,0.717892680689398
36,11111,Another,"Horror, Mystery, School, Supernatural, Thriller",TV,12,7.88,534657,0.7155102846634425
37,30,Neon Genesis Evangelion,"Action, Dementia, Drama, Mecha, Psychological, Sci-Fi",TV,26,8.32,461946,0.7149991894605732
38,31043,Boku dake ga Inai Machi,"Mystery, Psychological, Seinen, Supernatural",TV,12,8.65,402381,0.7126307297191241
39,918,Gintama,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",TV,201,9.04,336376,0.711563594490592
40,853,Ouran Koukou Host Club,"Comedy, Harem, Romance, School, Shoujo",TV,26,8.39,422271,0.7038289018532438
41,2025,Darker than Black: Kuro no Keiyakusha,"Action, Mystery, Sci-Fi, Super Power",TV,25,8.25,440334,0.7019903796563645
42,205,Samurai Champloo,"Action, Adventure, Comedy, Historical, Samurai, Shounen",TV,26,8.5,390076,0.6981710082360583
43,164,Mononoke Hime,"Action, Adventure, Fantasy",Movie,1,8.81,339556,0.698090321026623
44,22199,Akame ga Kill!,"Action, Adventure, Fantasy",TV,24,7.84,492133,0.6961722459249841
45,31240,Re:Zero kara Hajimeru Isekai Seikatsu,"Drama, Fantasy, Psychological, Thriller",TV,25,8.64,355839,0.6936285243217849
46,11741,Fate/Zero 2nd Season,"Action, Fantasy, Supernatural, Thriller",TV,12,8.73,340973,0.6935266272148989
47,431,Howl no Ugoku Shiro,"Adventure, Drama, Fantasy, Romance",Movie,1,8.74,333186,0.6910948224098874
48,2251,Baccano!,"Action, Comedy, Historical, Mystery, Seinen, Supernatural",TV,13,8.54,363215,0.6901351067604486
49,8074,Highschool of the Dead,"Action, Ecchi, Horror, Supernatural",TV,12,7.46,535892,0.6891031762396165
50,28171,Shokugeki no Souma,"Ecchi, School, Shounen",TV,24,8.61,348951,0.6889900291376936
51,13759,Sakurasou no Pet na Kanojo,"Comedy, Drama, Romance, School, Slice of Life",TV,24,8.4,380375,0.6879403307909484
52,849,Suzumiya Haruhi no Yuuutsu,"Comedy, Mystery, Parody, School, Sci-Fi, Slice of Life",TV,14,8.06,428569,0.6851823342345611
53,28223,Death Parade,"Drama, Game, Mystery, Psychological, Thriller",TV,12,8.33,383914,0.6848541551342359
54,4898,Kuroshitsuji,"Action, Comedy, Demons, Fantasy, Historical, Shounen, Supernatural",TV,24,8.06,424919,0.683742327290966
55,7054,Kaichou wa Maid-sama!,"Comedy, Romance, School, Shoujo",TV,26,8.26,391628,0.6834151107075258
56,21881,Sword Art Online II,"Action, Adventure, Fantasy, Game, Romance",TV,24,7.35,537892,0.6828484644699924
57,10793,Guilty Crown,"Action, Drama, Sci-Fi, Super Power",TV,22,7.81,460959,0.6819523785129061
58,813,Dragon Ball Z,"Action, Adventure, Comedy, Fantasy, Martial Arts, Shounen, Super Power",TV,291,8.32,375662,0.680958214358885
59,457,Mushishi,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",TV,26,8.78,300030,0.6805754021096392
60,32281,Kimi no Na wa.,"Drama, Romance, School, Supernatural",Movie,1,9.37,200630,0.6791400199628359
61,15809,Hataraku Maou-sama!,"Comedy, Demons, Fantasy, Romance, Shounen",TV,13,8.03,409037,0.675555497188876
62,11771,Kuroko no Basket,"Comedy, School, Shounen, Sports",TV,25,8.46,338315,0.6751887656241786
63,17265,Log Horizon,"Action, Adventure, Fantasy, Game, Magic, Shounen",TV,25,8.14,387100,0.6739446148668684
64,12189,Hyouka,"Mystery, School, Slice of Life",TV,22,8.17,372246,0.6700054029365363
65,23755,Nanatsu no Taizai,"Action, Adventure, Ecchi, Fantasy, Shounen, Supernatural",TV,24,8.42,331627,0.6699888334146722
66,2966,Ookami to Koushinryou,"Adventure, Fantasy, Historical, Romance",TV,13,8.37,334932,0.6680910225355392
67,20583,Haikyuu!!,"Comedy, Drama, School, Shounen, Sports",TV,25,8.68,284498,0.6680442642568298
68,245,Great Teacher Onizuka,"Comedy, Drama, School, Shounen, Slice of Life",TV,43,8.77,268487,0.6674906389443502
69,777,Hellsing Ultimate,"Action, Horror, Military, Seinen, Supernatural, Vampire",OVA,10,8.59,297454,0.6673926234836428
70,934,Higurashi no Naku Koro ni,"Horror, Mystery, Psychological, Supernatural, Thriller",TV,26,8.17,359494,0.6649744526503102
71,14741,Chuunibyou demo Koi ga Shitai!,"Comedy, Drama, Romance, School, Slice of Life",TV,12,7.95,394399,0.6646577454375848
72,23283,Zankyou no Terror,"Psychological, Thriller",TV,11,8.26,342893,0.6641880590921536
73,30503,Noragami Aragoto,"Action, Adventure, Shounen, Supernatural",TV,13,8.48,299434,0.6611300212650129
74,13125,Shinsekai yori,"Drama, Horror, Mystery, Sci-Fi, Supernatural",TV,25,8.53,288376,0.6599690995869695
75,14813,Yahari Ore no Seishun Love Comedy wa Machigatteiru.,"Comedy, Drama, Romance, School",TV,13,8.12,353876,0.6595563179471501
76,7311,Suzumiya Haruhi no Shoushitsu,"Comedy, Mystery, Romance, School, Sci-Fi, Supernatural",Movie,1,8.81,240297,0.658930417132292
77,6880,Deadman Wonderland,"Action, Horror, Sci-Fi",TV,12,7.48,453454,0.657860217512732
78,1482,D.Gray-man,"Action, Adventure, Comedy, Shounen",TV,103,8.2,334399,0.6569949363064556
79,5680,K-On!,"Comedy, Music, School, Slice of Life",TV,13,7.87,386048,0.6562403563313298
80,19,Monster,"Drama, Horror, Mystery, Police, Psychological, Seinen, Thriller",TV,74,8.72,247562,0.6560335490944476
81,12355,Ookami Kodomo no Ame to Yuki,"Fantasy, Slice of Life",Movie,1,8.84,226193,0.655287097039685
82,2236,Toki wo Kakeru Shoujo,"Adventure, Drama, Romance, Sci-Fi",Movie,1,8.44,289206,0.6545334795814444
83,889,Black Lagoon,"Action, Seinen",TV,12,8.17,332562,0.6543491740188296
84,14513,Magi: The Labyrinth of Magic,"Action, Adventure, Fantasy, Magic, Shounen",TV,25,8.24,317513,0.6528943962725889
85,1210,NHK ni Youkoso!,"Comedy, Drama, Psychological, Romance",TV,24,8.4,291228,0.6527698379140513
